date,week_number,games_completed,season_progress,favorite_team,favorite_odds,parity_index,top_5_share
2023-10-30,3,40,0.030372057706909643,BOS,0.125,8.0,0.625
2023-11-06,4,91,0.06909643128321943,DEN,0.25,5.333333333333333,0.875
2023-11-13,5,143,0.10858010630220197,BOS,0.375,4.571428571428571,0.875
2023-11-20,6,193,0.14654517843583903,MIN,0.25,6.4,0.75
2023-11-27,7,244,0.1852695520121488,DEN,0.25,6.4,0.75
2023-12-04,8,291,0.22095671981776766,MIL,0.25,5.333333333333333,0.875
2023-12-11,9,321,0.2437357630979499,BOS,0.25,6.4,0.75
2023-12-18,10,378,0.2870159453302961,LAL,0.375,4.0,1.0
2023-12-25,11,430,0.32649962034927865,PHI,0.25,6.4,0.75
2024-01-01,12,480,0.36446469248291574,BOS,0.375,4.571428571428571,0.875
2024-01-08,13,535,0.4062262718299165,NYK,0.25,6.4,0.75
2024-01-15,14,584,0.4434320425208808,DEN,0.25,5.333333333333333,0.875
2024-01-22,15,633,0.4806378132118451,CLE,0.25,6.4,0.75
2024-01-29,16,684,0.5193621867881549,NYK,0.25,5.333333333333333,0.875
2024-02-05,17,740,0.5618830675778284,LAC,0.125,8.0,0.625
2024-02-12,18,788,0.59832953682612,LAC,0.375,3.5555555555555554,1.0
2024-02-19,19,820,0.6226271829916477,MIL,0.25,5.333333333333333,0.875
2024-02-26,20,856,0.6499620349278664,NOP,0.25,5.333333333333333,0.875
2024-03-04,21,907,0.6886864085041762,MIL,0.375,4.0,1.0
2024-03-11,22,961,0.7296886864085042,BOS,0.25,5.333333333333333,0.875
2024-03-18,23,1011,0.7676537585421412,PHO,0.25,5.333333333333333,0.875
2024-03-25,24,1061,0.8056188306757783,MIL,0.375,4.0,1.0
2024-04-01,25,1115,0.8466211085801063,MIA,0.25,6.4,0.75
2024-04-08,26,1173,0.8906605922551253,PHO,0.25,5.333333333333333,0.875
